"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.088945730E-1,1.932478960E1,-9.918013870E1,2.287553842E3,2.279700195E3,NaN,NaN,0.000000000E0,2.031200027E1,1.503918767E0,-1.000000000E0
1.973619615E0,1.932478960E1,-9.918013870E1,2.287553842E3,2.279700195E3,NaN,NaN,1.861829896E-2,3.196000099E1,3.833518982E0,-1.000000000E0
1.043589457E1,1.932477833E1,-9.917996167E1,2.329853322E3,2.322000000E3,0.000000000E0,0.000000000E0,2.074937874E-2,8.450000000E1,1.816000061E2,7.000000000E0
1.143589457E1,1.932478167E1,-9.917998167E1,2.327653354E3,2.319800000E3,0.000000000E0,0.000000000E0,2.100419137E-2,8.199999809E0,1.706999969E2,8.000000000E0
1.243589457E1,1.932478000E1,-9.917998000E1,2.319253354E3,2.311400000E3,0.000000000E0,0.000000000E0,2.285744014E-2,7.900000095E0,1.661000061E2,8.000000000E0
1.343589457E1,1.932479667E1,-9.917998000E1,2.315553316E3,2.307700000E3,0.000000000E0,0.000000000E0,3.861438170E-2,7.800000191E0,1.653000031E2,8.000000000E0
1.443589457E1,1.932480333E1,-9.917983000E1,2.313153004E3,2.305300000E3,0.000000000E0,0.000000000E0,5.455571248E-2,7.599999905E0,1.643000031E2,8.000000000E0
1.543589457E1,1.932479500E1,-9.917998167E1,2.310653324E3,2.302800000E3,1.919913888E-1,6.651999664E1,5.537538412E-2,7.400000095E0,1.616000061E2,9.000000000E0
1.643589457E1,1.932480167E1,-9.917998500E1,2.310453315E3,2.302600000E3,0.000000000E0,6.651999664E1,5.588500934E-2,7.400000095E0,1.598000031E2,9.000000000E0
1.743589457E1,1.932480500E1,-9.917998167E1,2.310053301E3,2.302200000E3,0.000000000E0,6.651999664E1,5.722952836E-2,7.500000000E0,1.588999939E2,9.000000000E0
1.843589457E1,1.932481000E1,-9.917997000E1,2.306553267E3,2.298700000E3,0.000000000E0,6.651999664E1,5.773915357E-2,7.000000000E0,1.178000031E2,1.000000000E1
1.943589457E1,1.932481333E1,-9.917997333E1,2.305153266E3,2.297300000E3,3.119216561E-1,1.049800034E2,7.462992254E-2,6.900000095E0,1.136999969E2,9.000000000E0
2.043589457E1,1.932483000E1,-9.917981333E1,2.304852911E3,2.297000000E3,3.072891533E-1,1.294499969E2,7.488473513E-2,6.699999809E0,1.031999969E2,8.000000000E0
2.143589457E1,1.932482833E1,-9.917981167E1,2.304652912E3,2.296800000E3,0.000000000E0,1.294499969E2,7.564638408E-2,6.599999905E0,1.028000031E2,7.000000000E0
2.243589457E1,1.932482167E1,-9.917981000E1,2.303852923E3,2.296000000E3,2.661114037E-1,1.331100006E2,7.945462880E-2,6.500000000E0,1.025000000E2,7.000000000E0
2.343589457E1,1.932485500E1,-9.917980167E1,2.299652831E3,2.291800000E3,3.078038990E-1,1.163499985E2,8.024628998E-2,5.900000095E0,8.600000000E1,1.000000000E1
2.535589457E1,1.932485167E1,-9.917979500E1,2.299252826E3,2.291400000E3,0.000000000E0,1.163499985E2,8.119601872E-2,5.599999905E0,7.950000000E1,1.200000000E1
2.635589457E1,1.932484833E1,-9.917978667E1,2.299652817E3,2.291800000E3,5.219283104E-1,1.171200027E2,8.234237313E-2,5.300000191E0,7.619999695E1,1.100000000E1
2.735589457E1,1.932485500E1,-9.917977833E1,2.300552785E3,2.292700000E3,0.000000000E0,1.171200027E2,8.402047250E-2,5.099999905E0,6.569999695E1,1.500000000E1
2.835589457E1,1.932486333E1,-9.917976500E1,2.298052740E3,2.290200000E3,1.178199172E0,5.718999863E1,8.491403499E-2,4.800000191E0,4.790000153E1,1.800000000E1
2.935589457E1,1.932486833E1,-9.917975833E1,2.298252715E3,2.290400000E3,0.000000000E0,5.718999863E1,8.770002527E-2,4.699999809E0,4.579999924E1,1.800000000E1
3.035589457E1,1.932484667E1,-9.917974500E1,2.309652738E3,2.301800000E3,0.000000000E0,5.718999863E1,8.999273411E-2,4.500000000E0,4.040000153E1,1.700000000E1
3.135589457E1,1.932483333E1,-9.917972833E1,2.315952735E3,2.308100000E3,6.454616785E-1,6.375999832E1,9.197188727E-2,4.400000095E0,3.829999924E1,1.800000000E1
3.235589457E1,1.932482500E1,-9.917971167E1,2.318652721E3,2.310800000E3,7.108314037E-1,6.737999725E1,9.364040443E-2,4.300000191E0,3.779999924E1,1.900000000E1
3.335589457E1,1.932481333E1,-9.917970167E1,2.321252728E3,2.313400000E3,0.000000000E0,6.737999725E1,9.514589223E-2,4.199999809E0,3.690000153E1,1.800000000E1
3.435589457E1,1.932481833E1,-9.917968833E1,2.319752690E3,2.311900000E3,8.498063684E-1,6.040999985E1,9.565551743E-2,4.199999809E0,3.620000076E1,1.700000000E1
3.535589457E1,1.932482167E1,-9.917968500E1,2.318252676E3,2.310400000E3,8.930430412E-1,5.193000031E1,9.641995522E-2,4.099999905E0,3.570000076E1,1.400000000E1
3.635589457E1,1.932482667E1,-9.917968000E1,2.317552655E3,2.309700000E3,0.000000000E0,5.193000031E1,9.792544292E-2,4.099999905E0,3.600000000E1,1.700000000E1
3.735589457E1,1.932483167E1,-9.917966667E1,2.316252617E3,2.308400000E3,9.259852767E-1,6.179000092E1,9.843506810E-2,4.000000000E0,3.479999924E1,1.600000000E1
3.835589457E1,1.932483500E1,-9.917966333E1,2.314152603E3,2.306300000E3,8.657627702E-1,4.745000076E1,1.001121353E-1,3.700000048E0,2.950000000E1,1.800000000E1
3.935589457E1,1.932485000E1,-9.917966167E1,2.308852566E3,2.301000000E3,0.000000000E0,4.745000076E1,1.019472161E-1,3.200000048E0,2.729999924E1,1.900000000E1
4.035589457E1,1.932484500E1,-9.917967833E1,2.305752610E3,2.297900000E3,7.870102525E-1,4.306000137E1,1.025300471E-1,2.799999952E0,2.520000076E1,1.900000000E1
4.135589457E1,1.932484000E1,-9.917968000E1,2.303852625E3,2.296000000E3,7.098019719E-1,1.324400024E2,1.041838470E-1,2.700000048E0,2.270000076E1,2.000000000E1
4.235589457E1,1.932485000E1,-9.917966833E1,2.301652579E3,2.293800000E3,6.624475121E-1,7.690000153E1,1.052486897E-1,2.500000000E0,1.829999924E1,2.000000000E1
4.335589457E1,1.932485833E1,-9.917966333E1,2.300252550E3,2.292400000E3,6.094310880E-1,8.831999969E1,1.059723550E-1,2.400000095E0,1.820000076E1,2.100000000E1
4.435589457E1,1.932485667E1,-9.917965667E1,2.300052541E3,2.292200000E3,0.000000000E0,8.831999969E1,1.070085553E-1,2.400000095E0,1.810000038E1,2.100000000E1
4.535589457E1,1.932486167E1,-9.917964833E1,2.299852513E3,2.292000000E3,6.032544374E-1,8.541999817E1,1.080740947E-1,2.400000095E0,1.789999962E1,2.100000000E1
4.635589457E1,1.932486333E1,-9.917963833E1,2.298852489E3,2.291000000E3,6.315641403E-1,7.726999664E1,1.103943534E-1,2.299999952E0,1.779999924E1,2.200000000E1
4.735589457E1,1.932487500E1,-9.917962000E1,2.297052427E3,2.289200000E3,6.434027553E-1,7.027999878E1,1.125718136E-1,2.200000048E0,1.700000000E1,2.200000000E1
4.835589457E1,1.932488667E1,-9.917960333E1,2.295452367E3,2.287600000E3,6.866394281E-1,7.779000092E1,1.136373528E-1,2.099999905E0,1.670000076E1,2.200000000E1
4.935589457E1,1.932488833E1,-9.917959333E1,2.294652344E3,2.286800000E3,7.242141962E-1,7.633000183E1,1.149818713E-1,2.099999905E0,1.720000076E1,2.200000000E1
5.035589457E1,1.932489333E1,-9.917958167E1,2.293752309E3,2.285900000E3,7.602447271E-1,6.199000168E1,1.162666099E-1,2.099999905E0,1.779999924E1,2.200000000E1
5.135589457E1,1.932490000E1,-9.917957167E1,2.292652274E3,2.284800000E3,8.029666543E-1,5.070999908E1,1.174129641E-1,2.099999905E0,1.870000076E1,2.300000000E1
5.235589457E1,1.932490667E1,-9.917956333E1,2.291652243E3,2.283800000E3,7.962752581E-1,1.939999962E1,1.182046251E-1,2.099999905E0,1.900000000E1,2.300000000E1
5.335589457E1,1.932491000E1,-9.917955667E1,2.290852222E3,2.283000000E3,7.813483477E-1,2.528000069E1,1.190984641E-1,2.099999905E0,1.950000000E1,2.300000000E1
5.435589457E1,1.932491167E1,-9.917954833E1,2.289952202E3,2.282100000E3,7.458325028E-1,5.343000031E1,1.200481926E-1,2.099999905E0,2.029999924E1,2.300000000E1
5.535589457E1,1.932490833E1,-9.917954000E1,2.289052193E3,2.281200000E3,6.943602562E-1,8.644999695E1,1.207718577E-1,2.000000000E0,2.089999962E1,2.300000000E1
5.635589457E1,1.932490667E1,-9.917953333E1,2.288952183E3,2.281100000E3,6.295052767E-1,1.061399994E2,1.219182118E-1,2.000000000E0,2.160000038E1,2.300000000E1
5.735589457E1,1.932490000E1,-9.917952500E1,2.288352182E3,2.280500000E3,5.656797290E-1,1.093300018E2,1.229837510E-1,2.099999905E0,2.179999924E1,2.300000000E1
5.835589457E1,1.932489833E1,-9.917951500E1,2.288152166E3,2.280300000E3,5.208988786E-1,1.011800003E2,1.240492901E-1,2.000000000E0,2.139999962E1,2.300000000E1
5.935589457E1,1.932489667E1,-9.917950500E1,2.288252150E3,2.280400000E3,4.931038916E-1,1.109499969E2,1.249431292E-1,2.000000000E0,2.120000076E1,2.300000000E1
6.035589457E1,1.932489833E1,-9.917949667E1,2.288152130E3,2.280300000E3,4.853830636E-1,1.189899979E2,1.261812597E-1,2.000000000E0,2.060000038E1,2.300000000E1
6.135589457E1,1.932490000E1,-9.917948500E1,2.288252103E3,2.280400000E3,5.054572225E-1,1.257200012E2,1.271309882E-1,2.000000000E0,2.070000076E1,2.400000000E1
6.235589457E1,1.932489667E1,-9.917947667E1,2.288252094E3,2.280400000E3,5.420024991E-1,1.351799927E2,1.276406133E-1,1.899999976E0,1.629999924E1,2.400000000E1
6.335589457E1,1.932489333E1,-9.917947333E1,2.288052095E3,2.280200000E3,5.723711252E-1,2.159700012E2,1.280504491E-1,2.000000000E0,1.639999962E1,2.400000000E1
6.435589457E1,1.932489000E1,-9.917947167E1,2.288552099E3,2.280700000E3,5.754594207E-1,2.087299957E2,1.284602849E-1,2.000000000E0,1.629999924E1,2.400000000E1
6.535589457E1,1.932488667E1,-9.917947333E1,2.288952110E3,2.281100000E3,5.893569589E-1,1.692400055E2,1.292247225E-1,2.000000000E0,1.689999962E1,2.400000000E1
6.635589457E1,1.932488167E1,-9.917946833E1,2.289252111E3,2.281400000E3,5.790625215E-1,1.266399994E2,1.302609228E-1,2.000000000E0,1.700000000E1,2.400000000E1
6.735589457E1,1.932487667E1,-9.917946000E1,2.289552106E3,2.281700000E3,5.687680840E-1,1.229000015E2,1.313737614E-1,2.000000000E0,1.710000038E1,2.400000000E1
6.835589457E1,1.932487333E1,-9.917945000E1,2.290252094E3,2.282400000E3,5.991366506E-1,1.427100067E2,1.332002190E-1,2.099999905E0,1.739999962E1,2.400000000E1
6.935589457E1,1.932486500E1,-9.917943500E1,2.291052083E3,2.283200000E3,6.068574786E-1,1.633099976E2,1.344849578E-1,2.099999905E0,1.810000038E1,2.300000000E1
7.035589457E1,1.932485833E1,-9.917942500E1,2.292052078E3,2.284200000E3,6.001660824E-1,1.917700043E2,1.358848369E-1,2.099999905E0,1.829999924E1,2.200000000E1
7.135589457E1,1.932485000E1,-9.917941500E1,2.292752077E3,2.284900000E3,6.130341887E-1,1.700500031E2,1.377112947E-1,2.099999905E0,1.720000076E1,2.300000000E1
7.235589457E1,1.932484167E1,-9.917940000E1,2.293752066E3,2.285900000E3,6.413438916E-1,1.603999939E2,1.383681389E-1,2.000000000E0,1.729999924E1,2.300000000E1
7.335589457E1,1.932483667E1,-9.917940333E1,2.293552084E3,2.285700000E3,6.655358076E-1,1.738000031E2,1.395338008E-1,2.000000000E0,1.760000038E1,2.300000000E1
7.435589457E1,1.932482667E1,-9.917940667E1,2.293352114E3,2.285500000E3,7.113460898E-1,1.671999969E2,1.408474894E-1,2.000000000E0,1.739999962E1,2.300000000E1
7.535589457E1,1.932481667E1,-9.917940000E1,2.293252123E3,2.285400000E3,7.695097327E-1,1.524600067E2,1.429524929E-1,2.000000000E0,1.739999962E1,2.400000000E1
7.635589457E1,1.932479833E1,-9.917939500E1,2.292852155E3,2.285000000E3,8.719394207E-1,1.391999969E2,1.461962163E-1,2.500000000E0,1.729999924E1,2.400000000E1
7.735589457E1,1.932478667E1,-9.917936667E1,2.292452125E3,2.284600000E3,9.918697476E-1,1.353500061E2,1.473425710E-1,2.299999952E0,1.720000076E1,2.500000000E1
7.835589457E1,1.932478000E1,-9.917935833E1,2.291852123E3,2.284000000E3,1.066504478E0,1.510000000E2,1.496358847E-1,2.200000048E0,1.760000038E1,2.400000000E1
7.935589457E1,1.932476500E1,-9.917934333E1,2.291652128E3,2.283800000E3,1.126212239E0,1.161299973E2,1.500317154E-1,2.000000000E0,1.729999924E1,2.400000000E1
8.035589457E1,1.932476333E1,-9.917934000E1,2.291452125E3,2.283600000E3,1.151948333E0,1.347799988E2,1.505413407E-1,1.899999976E0,1.439999962E1,2.300000000E1
8.135589457E1,1.932476000E1,-9.917933667E1,2.290952126E3,2.283100000E3,1.167904735E0,1.341900024E2,1.518858600E-1,1.899999976E0,1.510000038E1,2.300000000E1
8.235589457E1,1.932475500E1,-9.917932500E1,2.290552114E3,2.282700000E3,1.169963598E0,1.150899963E2,1.524105100E-1,1.799999952E0,1.580000019E1,2.400000000E1
8.335589457E1,1.932475500E1,-9.917932000E1,2.289552104E3,2.281700000E3,1.197758555E0,7.358999634E1,1.529669297E-1,1.899999976E0,1.550000000E1,2.400000000E1
8.435589457E1,1.932475667E1,-9.917931500E1,2.288652090E3,2.280800000E3,1.235848069E0,8.983999634E1,1.545517525E-1,1.899999976E0,1.610000038E1,2.400000000E1
8.535589457E1,1.932475500E1,-9.917930000E1,2.288352065E3,2.280500000E3,1.248201370E0,9.448999786E1,1.563103777E-1,1.899999976E0,1.530000019E1,2.000000000E1
